filename,width,height,class,xmin,ymin,xmax,ymax
000_14M0LD-e1525732547750-400x250.jpg,400,250,military tank,198,108,371,197
000_1H95VB.width-800.jpg,800,532,military aircraft,30,168,622,505
000_1LC27X-e1570900274807-1024x640.jpg,1024,640,military tank,78,92,858,563
0023ae82ca0f1487c33a46.jpg,900,618,civilian aircraft,5,62,857,590
01-BOAC-Comet-1-G-BOAC-AI-PM-1953-0603-Marvin-G-Goldman-Colln.jpg,1626,1038,civilian aircraft,115,375,1593,784
01-honda-civic-si-sedan.jpg,2480,1600,civilian car,731,551,2222,1385
0101020114.side.jpg,918,516,civilian car,108,160,815,413
010205-F-1631A-001.jpg,780,512,military aircraft,81,185,701,411
013d6ebd2b2951fb52c8ddf18f8de3bf.jpg,400,266,civilian aircraft,5,71,394,222
0158.jpg,3245,2242,civilian aircraft,1828,418,3229,1005
01convoy01.jpg,670,434,military truck,37,36,662,417
020307-N-5067K-001.jpg,1600,1198,military helicopter,235,58,1393,1059
022713tank_960x540.jpg,960,540,military tank,136,51,765,499
03-Aerolineas-Argentinas-Comet-4-AI-PM-1959-0516-Marvin-G-Goldman-Colln.jpg,1612,1038,civilian aircraft,48,238,1482,708
03d_on12_bell47gfranksteinkohl01_live.jpg,3269,2179,military helicopter,700,752,2731,1556
03helicopters2-span-articleLarge.jpg,600,364,military helicopter,60,40,193,87
03vid-tanks-videoSixteenByNine390.jpg,390,219,military tank,90,86,340,216
04a_sep2019_loadslinghummertrailer_live.jpg,7800,4016,military helicopter,1288,382,4623,2298
04truck.jpg,370,232,military truck,61,57,294,203
0521_us_730_3.jpg,319,278,military aircraft,5,49,315,167
0546PA19.jpg,600,400,civilian aircraft,18,63,589,327
06hack4.jpg,370,288,military truck,11,28,356,260
06sd4.jpg,580,379,military helicopter,62,76,424,315
06sd6.jpg,580,388,military helicopter,67,29,496,334
06sd9.jpg,300,300,military helicopter,4,98,260,198
0708hpc-outlook2.jpg,500,335,civilian aircraft,23,63,484,293
071917_0109_redchinacon4.jpg,1225,689,military truck,7,68,359,642
075cf5d247476d01f7cd71ec359ce8dd.jpg,800,1213,civilian aircraft,21,157,787,1103
07734414.jpg,1920,1162,military aircraft,219,452,964,963
0849601.jpg,1024,780,military helicopter,151,81,976,659
086-car-top-view-vector-free.jpg,600,475,civilian car,57,17,528,462
094-top-view-AAVP-7A1-RAM-RS-HobC2ADbyBoss-82415.jpg,960,720,military tank,161,55,867,456
09atwar-grandfather-1-articleLarge.jpg,600,382,military tank,84,98,591,359
0TREpvY3xoDJIKMK8.jpg,1200,755,military tank,589,238,1033,509
0_1346310708840_l.jpg,360,360,military tank,37,89,342,282
0_A-Puma-helicopter-believed-to-have-been-carrying-senior-officers-arrives-at-RAF-Valley-for-a-ceremon.jpg,1200,900,military helicopter,99,200,1158,687
0_BEN-OFFICIAL-20190520-212-631.jpg,615,409,military helicopter,112,91,546,384
